MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
16.5,33.9, nan  ,39.91238670694864,36.0,1009.5,31.3,No
7.232634730538922,30.3, e  ,46.0,44.0,1013.4,19.254790419161676,No
17.5,29.9, nan  ,43.0,34.0,1015.9,27.9,No
14.7,34.2, ne  ,33.0,25.0,1019.3,32.2,No
17.5,35.8, sse  ,57.0,24.0,1006.5,34.5,No
20.9,35.7, sw  ,50.0,28.0,1019.3,34.0,Yes
17.0,33.8, wnw  ,52.0,35.0,1019.3,31.8,No
16.0,22.8, nan  ,50.0,57.0,1019.3,21.6,No
15.4,33.8, w  ,35.0,26.0,1009.0,31.7,No
17.9,33.2, n  ,59.0,62.0,1006.1,23.5,Yes
15.2,25.1, e  ,46.0,42.0,1015.0,23.9,No
15.1,20.4, ese  ,39.0,55.0,1015.8,19.4,Yes
15.3,19.6, ne  ,39.91238670694864,88.0,1006.0,18.6,No
17.2,20.427245508982036, nw  ,50.0,71.0,1004.0,21.9,No
15.9,19.9, e  ,48.0,58.0,1012.1,18.6,No
10.0,22.5, e  ,33.0,46.0,1016.8,22.2,No
9.9,24.4, ne  ,28.0,38.0,1019.2,22.7,No
10.3,27.8, ene  ,35.0,29.0,1019.3,26.3,No
15.4,25.7, e  ,41.0,32.0,1016.9,24.6,No
12.7,28.8, nan  ,28.0,28.0,1012.4,28.3,No
13.2,31.3, wsw  ,46.0,28.0,1009.5,30.7,No
15.3,33.2, nan  ,44.0,18.0,1012.0,32.1,No
7.232634730538922,33.9, ene  ,46.0,22.0,1014.6,32.3,No
17.6,27.8, ese  ,39.0,49.0,1012.8,26.3,Yes
16.0,23.8, sse  ,39.91238670694864,49.0,1017.1,22.9,No
14.9,20.427245508982036, nne  ,30.0,44.0,1014.5,27.0,No
17.1,29.6, e  ,48.0,38.0,1012.8,29.1,Yes
18.2,22.6, ene  ,33.0,76.0,1011.5,22.1,Yes
16.8,20.427245508982036, ese  ,30.0,71.0,1007.8,21.5,No
13.6,27.4, w  ,52.0,41.0,1019.3,26.5,No
14.5,24.2, ssw  ,61.0,76.0,998.9,20.3,Yes
12.4,19.9, ene  ,41.0,58.0,1005.0,18.7,No
7.232634730538922,20.427245508982036, sse  ,33.0,51.0,1006.8,18.7,No
9.1,23.1, ene  ,41.0,37.0,1011.4,21.4,No
8.9,26.0, ne  ,31.0,34.0,1011.7,24.2,No
14.5,24.2, w  ,48.0,60.0,1006.8,22.6,Yes
12.6,18.2, ene  ,30.0,73.0,1011.0,16.8,No
8.6,24.2, e  ,33.0,37.0,1015.1,22.0,No
10.8,25.2, ene  ,35.0,32.0,1016.7,24.3,No
11.2,20.427245508982036, ene  ,39.0,34.0,1019.3,24.7,No
7.232634730538922,24.1, nan  ,46.0,46.0,1021.4,22.5,No
10.8,25.8, nan  ,31.0,42.0,1017.4,24.1,No
11.4,27.1, ne  ,33.0,38.0,1012.8,26.1,No
12.0,28.9, ese  ,39.0,31.0,1009.1,28.6,Yes
16.3,24.8, s  ,50.0,56.0,1008.4,24.0,Yes
12.7,20.427245508982036, w  ,50.0,34.0,1002.3,27.4,No
12.7,25.1, nw  ,46.0,32.0,1005.4,24.5,No
12.0,23.8, nw  ,44.0,34.0,1007.2,22.9,No
11.5,25.9, nan  ,44.0,35.0,1014.3,24.3,No
13.0,28.2, nw  ,44.0,27.0,1014.4,27.0,No
11.7,20.427245508982036, w  ,48.0,25.0,1009.1,26.8,No
14.8,17.3, sse  ,48.0,78.0,1009.9,15.3,Yes
7.232634730538922,18.4, s  ,48.0,34.0,1014.5,16.8,No
4.4,21.8, s  ,35.0,31.0,1019.3,20.0,No
7.4,24.4, e  ,35.0,37.0,1023.2,22.1,No
8.3,27.3, e  ,35.0,34.0,1020.4,25.5,No
10.1,20.427245508982036, ese  ,39.0,28.0,1018.2,27.0,No
12.0,27.6, e  ,46.0,35.0,1022.2,26.2,No
12.9,31.8, wsw  ,41.0,24.0,1019.3,30.0,No
10.8,29.2, e  ,39.91238670694864,34.0,1017.7,27.7,Yes
9.5,27.4, nnw  ,24.0,39.0,1020.7,24.9,No
12.1,27.8, e  ,41.0,33.0,1023.1,27.0,No
12.5,31.7, wnw  ,24.0,34.0,1020.4,30.1,No
13.9,34.7, ssw  ,46.0,18.0,1019.3,32.7,No
13.3,31.7, wnw  ,39.91238670694864,23.0,1017.6,30.7,No
13.2,33.1, ene  ,39.0,18.0,1017.7,31.7,No
7.232634730538922,33.8, w  ,22.0,15.0,1019.1,32.7,No
13.8,35.2, se  ,48.0,15.0,1019.3,34.1,No
11.3,20.427245508982036, ne  ,28.0,17.0,1020.7,30.5,No
11.7,30.2, ne  ,33.0,22.0,1020.6,28.8,No
12.5,29.9, nw  ,39.91238670694864,30.0,1019.3,29.2,No
15.1,26.2, ne  ,31.0,48.0,1018.7,24.5,No
7.232634730538922,29.3, nw  ,46.0,35.0,1009.4,27.6,No
13.0,14.8, se  ,30.0,62.0,1019.3,13.9,No
11.6,20.427245508982036, e  ,39.91238670694864,64.0,1021.8,17.9,No
12.8,24.9, ene  ,30.0,44.0,1019.3,24.2,No
15.5,22.4, nw  ,28.0,68.0,1015.4,19.254790419161676,Yes
13.1,17.4, nnw  ,43.0,93.0,1006.5,19.254790419161676,Yes
12.6,20.2, w  ,46.0,50.0,1008.4,17.4,No
4.4,18.3, n  ,39.91238670694864,36.0,1012.6,17.4,No
4.4,18.2, w  ,31.0,34.0,1015.0,17.2,No
7.1,18.5, nw  ,57.0,30.0,1011.3,18.2,No
4.2,18.9, wnw  ,50.0,34.0,1009.3,19.254790419161676,No
9.6,20.427245508982036, wnw  ,39.91238670694864,42.0,1019.3,16.5,No
3.5,20.427245508982036, nnw  ,22.0,34.0,1021.2,21.2,No
7.0,14.3, wnw  ,63.0,34.0,1012.7,19.254790419161676,No
0.4,18.9, n  ,22.0,33.0,1019.1,17.6,No
3.2,21.4, e  ,26.0,34.0,1022.3,19.254790419161676,No
5.9,20.427245508982036, e  ,35.0,35.0,1024.1,20.8,No
8.1,20.5, ene  ,31.0,48.0,1019.3,19.5,No
6.9,18.9, ese  ,39.0,45.0,1025.4,17.8,No
5.6,19.5, sw  ,39.91238670694864,49.0,1021.8,19.254790419161676,No
7.2,22.9, e  ,26.0,28.0,1019.2,19.254790419161676,No
7.232634730538922,23.4, ese  ,39.0,29.0,1016.9,22.4,No
6.1,24.1, wnw  ,35.0,32.0,1015.8,23.7,Yes
7.1,19.8, w  ,39.0,56.0,1013.8,19.1,Yes
5.6,18.0, s  ,31.0,40.0,1019.6,17.9,No
5.4,20.7, sse  ,28.0,36.0,1019.3,20.4,No
6.3,19.3, s  ,31.0,39.0,1024.4,18.8,No
5.3,21.0, wnw  ,26.0,44.0,1019.3,20.4,No
7.9,19.7, ese  ,48.0,43.0,1024.1,19.1,No
8.4,16.1, se  ,35.0,34.0,1019.3,15.2,No
8.1,18.7, ese  ,33.0,65.0,1024.2,15.6,No
2.4,20.6, nan  ,30.0,34.0,1021.0,19.254790419161676,No
5.6,18.9, se  ,33.0,49.0,1019.3,17.7,No
7.5,19.0, ene  ,26.0,43.0,1022.2,18.1,No
2.5,21.2, ne  ,28.0,55.0,1019.8,17.6,No
5.0,20.9, wnw  ,22.0,42.0,1014.3,20.6,No
3.8,21.7, nw  ,44.0,34.0,1006.7,20.2,No
7.9,18.7, nw  ,59.0,51.0,997.7,16.6,Yes
4.3,11.3, w  ,39.91238670694864,60.0,1008.1,8.8,No
-2.1,13.8, nnw  ,22.0,40.0,1019.6,13.2,No
-1.8,14.8, n  ,28.0,40.0,1020.5,13.9,No
7.232634730538922,13.8, wnw  ,31.0,54.0,1018.5,12.4,No
2.1,17.3, w  ,43.0,38.0,1017.3,15.9,No
0.5,17.1, nw  ,31.0,42.0,1017.4,16.2,No
-0.9,16.7, nnw  ,30.0,42.0,1018.5,15.4,No
7.232634730538922,19.0, nw  ,39.0,41.0,1015.8,18.5,No
7.5,16.8, nw  ,41.0,53.0,1013.8,15.4,No
7.232634730538922,20.427245508982036, wnw  ,43.0,43.0,1013.5,16.5,No
7.232634730538922,20.427245508982036, nw  ,24.0,44.0,1018.9,16.9,No
0.1,21.0, nnw  ,17.0,36.0,1020.3,20.7,No
1.5,20.9, nw  ,20.0,41.0,1020.0,20.9,No
8.3,20.427245508982036, e  ,20.0,52.0,1021.5,17.2,No
9.4,19.2, nan  ,24.0,47.0,1020.3,19.254790419161676,No
1.3,19.0, nnw  ,30.0,34.0,1021.4,18.6,No
2.2,18.6, nnw  ,39.91238670694864,44.0,1021.0,17.8,No
7.232634730538922,17.9, nw  ,39.91238670694864,34.0,1018.7,17.7,Yes
4.5,16.0, nan  ,35.0,69.0,1013.7,15.2,No
7.9,12.3, nw  ,52.0,78.0,1005.9,7.3,No
4.3,14.1, nw  ,41.0,53.0,1008.3,13.3,No
7.232634730538922,18.1, w  ,52.0,36.0,1014.3,16.7,No
0.3,17.0, wnw  ,31.0,52.0,1018.6,16.2,No
3.8,17.4, e  ,24.0,47.0,1019.3,16.6,No
2.4,14.7, nan  ,20.0,43.0,1026.0,13.8,No
1.2,14.8, se  ,17.0,49.0,1024.8,14.5,No
1.2,14.5, se  ,17.0,43.0,1019.3,13.9,No
-0.3,20.427245508982036, w  ,39.0,48.0,1021.8,17.2,Yes
4.7,18.5, ese  ,22.0,34.0,1023.1,17.9,No
4.9,20.427245508982036, nnw  ,22.0,55.0,1022.3,17.7,No
1.4,16.8, nan  ,20.0,50.0,1024.7,16.3,No
2.2,17.5, nw  ,39.91238670694864,45.0,1029.6,17.3,No
-0.1,18.0, nan  ,39.91238670694864,46.0,1028.7,19.254790419161676,No
-0.9,18.5, nan  ,22.0,38.0,1027.4,18.2,No
0.6,14.0, ne  ,39.91238670694864,67.0,1019.3,13.9,No
4.6,15.7, nne  ,15.0,67.0,1027.1,19.254790419161676,No
9.8,14.4, ese  ,20.0,86.0,1027.2,13.6,Yes
7.232634730538922,15.1, sse  ,41.0,65.0,1025.7,13.3,No
7.8,15.1, s  ,31.0,65.0,1023.4,14.8,No
4.4,16.7, nan  ,22.0,42.0,1022.1,16.2,No
-0.2,15.5, ne  ,39.91238670694864,42.0,1027.0,14.5,No
4.3,14.5, nan  ,30.0,70.0,1031.7,13.0,No
7.4,16.3, nan  ,30.0,65.0,1027.9,14.5,Yes
7.232634730538922,13.7, nw  ,31.0,94.0,1024.3,11.6,Yes
7.232634730538922,15.0, nw  ,46.0,65.0,1022.1,13.7,No
7.3,16.4, nan  ,43.0,48.0,1019.7,19.254790419161676,No
8.7,13.0, wnw  ,54.0,58.0,1014.1,19.254790419161676,No
1.0,20.427245508982036, s  ,48.0,49.0,1025.6,11.0,No
2.1,14.7, s  ,43.0,57.0,1026.3,13.8,No
6.4,20.427245508982036, ssw  ,26.0,51.0,1024.8,16.0,No
5.4,15.5, nan  ,20.0,58.0,1025.5,14.9,No
0.4,15.5, n  ,13.0,70.0,1023.5,15.0,No
7.232634730538922,20.427245508982036, nnw  ,17.0,63.0,1019.7,14.8,No
8.4,11.7, w  ,26.0,86.0,1019.3,11.3,No
0.4,13.9, wnw  ,41.0,59.0,1021.0,12.1,No
7.232634730538922,14.0, nw  ,33.0,44.0,1025.7,12.5,No
0.9,12.9, nan  ,24.0,53.0,1022.1,12.3,No
0.8,13.0, wnw  ,41.0,69.0,1024.2,11.7,No
4.3,12.6, nw  ,46.0,54.0,1021.9,11.3,No
6.3,11.8, wnw  ,63.0,48.0,1020.4,11.5,No
3.5,14.3, nnw  ,35.0,51.0,1025.0,12.7,No
-1.5,14.8, nw  ,15.0,41.0,1026.0,14.5,No
1.2,16.0, nnw  ,31.0,34.0,1020.9,14.6,No
0.5,15.4, w  ,39.91238670694864,68.0,1010.2,12.9,No
6.6,13.1, wnw  ,39.91238670694864,53.0,1014.0,12.3,No
-1.6,11.5, n  ,31.0,53.0,1019.3,11.1,No
-3.1,12.0, ese  ,35.0,52.0,1030.0,10.2,No
-0.1,14.2, w  ,13.0,55.0,1019.3,12.6,No
-0.6,14.0, nw  ,41.0,59.0,1019.3,19.254790419161676,No
3.0,11.1, w  ,35.0,96.0,1019.3,8.6,Yes
2.9,9.5, nw  ,35.0,72.0,1019.6,7.4,No
-1.3,8.8, wnw  ,39.0,68.0,1016.8,8.0,No
1.8,8.7, nw  ,65.0,85.0,1010.5,6.9,Yes
2.9,8.4, nw  ,59.0,66.0,1018.2,19.254790419161676,No
-2.6,11.1, n  ,20.0,54.0,1019.3,9.9,No
0.5,11.0, nnw  ,31.0,69.0,1021.9,19.254790419161676,No
2.7,16.5, nnw  ,41.0,51.0,1019.3,15.9,No
-1.7,13.6, nnw  ,28.0,46.0,1020.1,13.3,No
-0.9,12.8, n  ,17.0,62.0,1020.8,12.1,No
-1.8,20.427245508982036, nnw  ,41.0,55.0,1013.9,11.0,No
1.3,10.6, nw  ,46.0,73.0,1009.4,8.2,Yes
7.232634730538922,11.6, nw  ,35.0,48.0,1014.9,10.7,No
-1.1,11.0, wnw  ,41.0,87.0,1009.0,8.7,Yes
2.3,11.6, wnw  ,54.0,56.0,1010.3,19.254790419161676,No
7.232634730538922,11.6, s  ,39.0,33.0,1025.8,11.0,No
-3.5,11.2, ese  ,26.0,48.0,1031.1,10.1,No
-1.0,12.2, ese  ,30.0,51.0,1027.4,10.8,No
-2.1,12.9, s  ,39.91238670694864,34.0,1020.9,12.3,No
-2.0,11.3, wnw  ,33.0,50.0,1015.3,10.9,No
-2.3,9.7, sse  ,28.0,66.0,1010.0,7.8,Yes
-1.6,10.7, s  ,59.0,56.0,1014.9,19.254790419161676,No
0.8,12.2, nan  ,39.91238670694864,49.0,1016.8,11.2,No
-2.8,12.2, nnw  ,31.0,48.0,1014.6,11.5,No
-2.8,14.1, wnw  ,48.0,38.0,1012.9,12.8,No
3.0,9.7, nan  ,65.0,82.0,1001.3,8.6,Yes
4.4,11.5, wnw  ,57.0,56.0,1014.9,10.5,No
2.3,12.8, wnw  ,35.0,48.0,1018.1,11.6,No
-2.0,12.3, nan  ,39.91238670694864,60.0,1018.3,9.1,No
-1.9,10.9, s  ,50.0,72.0,1019.2,7.2,Yes
4.8,14.1, s  ,48.0,48.0,1017.6,13.6,No
-0.6,11.1, nnw  ,41.0,78.0,1019.3,5.7,Yes
3.1,12.5, n  ,43.0,34.0,1019.1,11.3,No
-2.9,20.427245508982036, nw  ,43.0,70.0,1019.0,8.1,No
-3.5,20.427245508982036, nw  ,50.0,34.0,1012.6,5.1,No
-0.3,9.3, n  ,39.0,60.0,1016.6,8.3,No
0.1,10.4, wnw  ,59.0,63.0,1020.1,8.6,No
2.3,12.2, wnw  ,44.0,34.0,1022.4,10.4,No
2.1,10.7, nw  ,59.0,45.0,1018.2,9.5,No
4.6,14.7, wnw  ,52.0,51.0,1012.4,19.254790419161676,No
3.7,14.2, nnw  ,39.91238670694864,27.0,1011.8,13.5,No
7.232634730538922,11.6, n  ,30.0,35.0,1019.3,10.8,No
-3.4,12.5, sse  ,39.91238670694864,30.0,1021.8,11.2,No
-5.3,13.1, nw  ,33.0,47.0,1025.6,12.2,No
0.0,20.427245508982036, wnw  ,39.0,36.0,1024.4,12.4,No
2.4,14.1, nw  ,46.0,34.0,1017.8,13.2,No
-0.6,20.427245508982036, s  ,59.0,44.0,1016.8,19.254790419161676,No
2.3,11.6, s  ,54.0,38.0,1025.5,11.1,No
-3.7,14.4, nnw  ,22.0,28.0,1028.0,14.0,No
-0.9,14.2, wnw  ,31.0,34.0,1024.4,12.8,No
-1.5,17.3, nan  ,48.0,23.0,1020.3,15.8,No
-3.3,15.1, ssw  ,30.0,23.0,1025.5,14.4,No
7.232634730538922,14.7, ene  ,30.0,43.0,1025.9,12.3,No
-0.2,16.2, e  ,28.0,45.0,1022.9,14.6,No
0.5,16.3, nan  ,39.0,45.0,1017.5,15.4,Yes
6.1,17.2, nw  ,59.0,85.0,1019.3,12.6,No
4.1,14.8, nw  ,46.0,34.0,1021.7,14.3,No
0.1,16.7, wnw  ,28.0,34.0,1019.3,19.254790419161676,No
3.2,12.1, ese  ,41.0,51.0,1033.2,11.1,No
5.4,11.3, ene  ,35.0,61.0,1031.9,10.2,No
5.8,12.4, nan  ,26.0,73.0,1023.5,10.8,No
6.3,16.1, s  ,39.91238670694864,33.0,1016.2,15.7,No
-0.9,16.7, nw  ,35.0,33.0,1013.9,15.5,No
0.2,15.5, se  ,39.91238670694864,37.0,1018.2,15.3,No
-3.7,14.7, sse  ,43.0,34.0,1020.9,13.4,No
-2.7,15.2, n  ,30.0,35.0,1017.9,14.9,No
-2.5,16.6, nw  ,31.0,20.0,1013.9,16.3,No
-0.5,21.6, nw  ,48.0,27.0,1010.9,21.5,No
9.0,25.5, nw  ,50.0,31.0,1011.4,25.1,No
13.1,19.4, nnw  ,67.0,43.0,1006.0,18.2,No
3.9,13.2, wnw  ,39.91238670694864,33.0,1017.6,12.2,No
0.7,14.1, ene  ,20.0,43.0,1022.1,13.7,No
1.1,18.0, nnw  ,39.0,36.0,1015.6,17.8,No
5.1,23.3, nw  ,44.0,30.0,1011.7,22.4,No
7.5,23.3, nan  ,39.91238670694864,15.0,1010.9,21.3,No
4.7,20.427245508982036, nnw  ,46.0,25.0,1015.1,18.3,No
7.8,16.2, nw  ,50.0,44.0,1019.3,14.3,No
7.232634730538922,17.3, e  ,31.0,34.0,1027.7,16.5,No
3.2,18.7, n  ,31.0,32.0,1026.9,18.1,No
2.5,20.9, nnw  ,44.0,35.0,1020.6,20.0,No
7.232634730538922,25.7, nnw  ,50.0,25.0,1016.4,24.7,No
14.4,24.3, wnw  ,39.91238670694864,25.0,1009.9,23.0,No
4.9,18.9, nw  ,44.0,32.0,1013.9,16.0,No
2.3,16.8, n  ,41.0,34.0,1017.0,16.3,No
1.4,20.6, n  ,46.0,16.0,1015.4,19.5,No
5.6,27.6, nw  ,46.0,21.0,1014.1,26.7,No
14.4,20.7, nnw  ,33.0,65.0,1013.2,19.3,Yes
10.3,21.3, nnw  ,43.0,46.0,1013.6,19.8,No
11.2,18.0, w  ,65.0,40.0,1005.3,16.2,Yes
0.3,16.0, nw  ,57.0,45.0,1013.3,14.6,No
0.5,17.9, n  ,44.0,33.0,1017.5,16.6,No
0.5,20.0, nnw  ,31.0,34.0,1024.2,18.8,No
4.6,22.0, n  ,41.0,25.0,1024.9,19.254790419161676,No
8.2,22.4, nw  ,39.91238670694864,30.0,1023.8,20.6,No
4.5,23.9, nw  ,30.0,27.0,1021.5,22.3,No
11.9,21.1, nw  ,41.0,34.0,1019.3,19.4,No
9.2,19.6, ene  ,31.0,42.0,1019.7,18.4,No
4.4,21.0, nw  ,28.0,34.0,1019.3,19.2,No
7.232634730538922,24.1, nan  ,39.91238670694864,34.0,1020.7,21.9,No
6.7,24.7, nw  ,43.0,31.0,1022.2,19.254790419161676,No
8.3,28.5, nw  ,46.0,30.0,1019.8,27.4,No
11.3,27.4, nw  ,52.0,20.0,1017.5,26.3,No
9.0,20.6, ene  ,39.91238670694864,28.0,1018.6,18.5,No
3.2,18.0, sse  ,48.0,25.0,1022.8,19.254790419161676,No
0.9,20.7, nnw  ,39.0,29.0,1019.3,19.1,No
3.3,25.5, n  ,43.0,16.0,1014.6,24.8,No
7.9,26.1, nnw  ,43.0,34.0,1014.2,25.9,No
7.1,28.4, n  ,48.0,22.0,1016.9,19.254790419161676,No
12.5,19.9, ese  ,43.0,34.0,1022.8,18.3,No
12.5,26.9, nw  ,46.0,34.0,1016.2,25.9,No
-2.0,12.3, nan  ,39.91238670694864,60.0,1018.3,9.1,No
13.6,24.1, nnw  ,30.0,49.0,1013.3,23.2,Yes
16.3,26.8, ene  ,39.0,54.0,1016.1,24.5,No
7.1,18.5, nw  ,57.0,30.0,1011.3,18.2,No
